existing_identifier,source_platform,display_name,proposed_canonical_identifier,classification,ranking_movement,seeded_in_migration_2
catalog-back-cable-high-cable-row,web,High Cable Row,high-cable-row,duplicate,,no
catalog-back-cable-kneeling-cable-pulldown,web,Kneeling Cable Pulldown,kneeling-cable-pulldown,alias,,no
catalog-back-cable-low-cable-row,web,Low Cable Row,low-cable-row,duplicate,,no
catalog-back-cable-neutral-grip-lat-pulldown,web,Neutral-Grip Lat Pulldown,neutral-grip-lat-pulldown,alias,,no
catalog-back-cable-rope-seated-row,web,Rope Seated Row,rope-seated-row,alias,,no
catalog-back-cable-single-arm-cable-row,web,Single-Arm Cable Row,single-arm-cable-row,duplicate,,no
catalog-back-cable-single-arm-lat-pulldown,web,Single-Arm Lat Pulldown,single-arm-lat-pulldown,alias,,no
catalog-back-cable-straight-arm-pulldown,web,Straight-Arm Pulldown,straight-arm-pulldown,alias,,no
catalog-back-cable-wide-grip-lat-pulldown,web,Wide-Grip Lat Pulldown,wide-grip-lat-pulldown,alias,,no
catalog-back-dumbbells-chest-supported-dumbbell-row,web,Chest-Supported Dumbbell Row,chest-supported-dumbbell-row,duplicate,,no
catalog-back-dumbbells-dumbbell-high-row,web,Dumbbell High Row,dumbbell-high-row,duplicate,,no
catalog-back-dumbbells-dumbbell-pullover,web,Dumbbell Pullover,dumbbell-pullover,duplicate,,no
catalog-back-dumbbells-dumbbell-rear-delt-row,web,Dumbbell Rear-Delt Row,dumbbell-rear-delt-row,alias,,no
catalog-back-dumbbells-dumbbell-seal-row,web,Dumbbell Seal Row,dumbbell-seal-row,duplicate,,no
catalog-back-dumbbells-dumbbell-shrug,web,Dumbbell Shrug,dumbbell-shrug,duplicate,,no
catalog-back-dumbbells-incline-dumbbell-row,web,Incline Dumbbell Row,incline-dumbbell-row,alias,,no
catalog-back-dumbbells-one-arm-dumbbell-row,web,One-Arm Dumbbell Row,one-arm-dumbbell-row,alias,,no
catalog-back-dumbbells-renegade-row,web,Renegade Row,renegade-row,duplicate,,no
catalog-back-dumbbells-two-arm-dumbbell-row,web,Two-Arm Dumbbell Row,two-arm-dumbbell-row,alias,,no
catalog-back-machine-assisted-pull-up-machine,web,Assisted Pull-Up Machine,assisted-pull-up-machine,duplicate,,no
catalog-back-machine-chest-supported-row-machine,web,Chest-Supported Row Machine,chest-supported-row-machine,alias,,no
catalog-back-machine-fixed-pulldown-machine,web,Fixed Pulldown Machine,fixed-pulldown-machine,alias,,no
catalog-back-machine-front-lat-pulldown-machine,web,Front Lat Pulldown Machine,front-lat-pulldown-machine,duplicate,,no
catalog-back-machine-high-row-machine,web,High Row Machine,high-row-machine,duplicate,,no
catalog-back-machine-iso-lateral-row-machine,web,Iso-Lateral Row Machine,iso-lateral-row-machine,alias,,no
catalog-back-machine-iso-lateral-underhand-row,web,Iso-Lateral Underhand Row,iso-lateral-underhand-row,duplicate,,no
catalog-back-machine-low-row-machine,web,Low Row Machine,low-row-machine,duplicate,,no
catalog-back-machine-machine-pullover,web,Machine Pullover,machine-pullover,alias,,no
catalog-back-machine-machine-shrug,web,Machine Shrug,machine-shrug,duplicate,,no
catalog-back-machine-plate-loaded-high-row,web,Plate-Loaded High Row,plate-loaded-high-row,alias,,no
catalog-back-machine-plate-loaded-low-row,web,Plate-Loaded Low Row,plate-loaded-low-row,alias,,no
catalog-back-machine-plate-loaded-row,web,Plate-Loaded Row,plate-loaded-row,alias,,no
catalog-back-machine-t-bar-row-machine,web,T-Bar Row Machine,t-bar-row-machine,duplicate,,no
catalog-back-machine-wide-pulldown-machine,web,Wide Pulldown Machine,wide-pulldown-machine,alias,,no
catalog-calves-machine-donkey-calf-raise-machine,web,Donkey Calf Raise Machine,donkey-calf-raise-machine,alias,,no
catalog-calves-machine-hack-squat-calf-raise,web,Hack Squat Calf Raise,hack-squat-calf-raise,alias,,no
catalog-calves-machine-horizontal-calf-press,web,Horizontal Calf Press,horizontal-calf-press,alias,,no
catalog-calves-machine-leg-press-calf-raise,web,Leg Press Calf Raise,leg-press-calf-raise,alias,,no
catalog-calves-machine-seated-calf-raise-machine,web,Seated Calf Raise Machine,seated-calf-raise-machine,duplicate,,no
catalog-calves-machine-single-leg-calf-raise-machine,web,Single-Leg Calf Raise Machine,single-leg-calf-raise-machine,alias,,no
catalog-calves-machine-smith-machine-calf-raise,web,Smith Machine Calf Raise,smith-machine-calf-raise,duplicate,,no
catalog-calves-machine-standing-calf-raise-machine,web,Standing Calf Raise Machine,standing-calf-raise-machine,duplicate,,no
catalog-calves-machine-tibia-dorsi-flexion,web,Tibia Dorsi Flexion,tibia-dorsi-flexion,alias,,no
catalog-calves-machine-tibia-raise-machine,web,Tibia Raise Machine,tibia-raise-machine,alias,,no
catalog-chest-cable-cable-crossover,web,Cable Crossover,cable-crossover,duplicate,,no
